Name,NOC,ID,Category,Difficulty,Execution,Score
Kazuma Kaya,JPN,268,Floor,5.8,8.5,14.3
Kazuma Kaya,JPN,268,Pommel,6,8,14
Kazuma Kaya,JPN,268,Rings,6.1,8.066,14.166
Kazuma Kaya,JPN,268,Vault,5.2,9.166,14.366
Kazuma Kaya,JPN,268,P-Bars,,,
Kazuma Kaya,JPN,268,High Bar,,,
Kenzo Shirai,JPN,269,Floor,6.8,8.133,14.933
Kenzo Shirai,JPN,269,Pommel,,,
Kenzo Shirai,JPN,269,Rings,,,
Kenzo Shirai,JPN,269,Vault,5.6,9.366,14.966
Kenzo Shirai,JPN,269,P-Bars,,,
Kenzo Shirai,JPN,269,High Bar,5.8,8.166,13.966
Yusuke Tanaka,JPN,270,Floor,,,
Yusuke Tanaka,JPN,270,Pommel,,,
Yusuke Tanaka,JPN,270,Rings,,,
Yusuke Tanaka,JPN,270,Vault,,,
Yusuke Tanaka,JPN,270,P-Bars,5.4,6.166,11.566
Yusuke Tanaka,JPN,270,High Bar,6,8.233,14.233
Tanigawa Wataru,JPN,272,Floor,5.9,7.266,12.866
Tanigawa Wataru,JPN,272,Pommel,5.8,7.8,13.6
Tanigawa Wataru,JPN,272,Rings,6,8.183,14.183
Tanigawa Wataru,JPN,272,Vault,5.6,9.2,14.8
Tanigawa Wataru,JPN,272,P-Bars,6.2,8.366,14.566
Tanigawa Wataru,JPN,272,High Bar,,,
Kohei Uchimura,JPN,273,Floor,,,
Kohei Uchimura,JPN,273,Pommel,5.9,8.233,14.133
Kohei Uchimura,JPN,273,Rings,5.7,8.5,14.2
Kohei Uchimura,JPN,273,Vault,,,
Kohei Uchimura,JPN,273,P-Bars,6.3,8.2,14.5
Kohei Uchimura,JPN,273,High Bar,6.3,8.1,14.4
Samuel Mikulak,USA,378,Floor,5.7,8.633,14.333
Samuel Mikulak,USA,378,Pommel,6.1,6.933,13.033
Samuel Mikulak,USA,378,Rings,5.6,8.666,14.266
Samuel Mikulak,USA,378,Vault,5.2,9.166,14.366
Samuel Mikulak,USA,378,P-Bars,6.2,8.633,14.833
Samuel Mikulak,USA,378,High Bar,6.1,8.4,14.5
Akash Modi,USA,379,Floor,,,
Akash Modi,USA,379,Pommel,,,
Akash Modi,USA,379,Rings,5.6,8.233,13.833
Akash Modi,USA,379,Vault,,,
Akash Modi,USA,379,P-Bars,5.8,7.066,12.866
Akash Modi,USA,379,High Bar,5.6,8,13.6
Yul Moldauer,USA,380,Floor,5.8,8.8,14.6
Yul Moldauer,USA,380,Pommel,5.5,8.066,13.566
Yul Moldauer,USA,380,Rings,5.7,7.666,13.366
Yul Moldauer,USA,380,Vault,5.2,9.433,14.633
Yul Moldauer,USA,380,P-Bars,5.9,8.1,14
Yul Moldauer,USA,380,High Bar,,,
Colin Van Wicklen,USA,381,Floor,5.5,8.533,14.033
Colin Van Wicklen,USA,381,Pommel,,,
Colin Van Wicklen,USA,381,Rings,,,
Colin Van Wicklen,USA,381,Vault,5.6,9.133,14.733
Colin Van Wicklen,USA,381,P-Bars,,,
Colin Van Wicklen,USA,381,High Bar,5.2,8.2,13.4
Alec Yoder,USA,382,Floor,,,
Alec Yoder,USA,382,Pommel,6.2,7.833,14.033
Alec Yoder,USA,382,Rings,,,
Alec Yoder,USA,382,Vault,,,
Alec Yoder,USA,382,P-Bars,,,
Alec Yoder,USA,382,High Bar,,,
Shudi Deng,CHN,154,Floor,5.9,8.366,14.166
Shudi Deng,CHN,154,Rings,6,8.466,14.466
Shudi Deng,CHN,154,P-Bars,6.2,8.6,14.8
Chaopan Lin,CHN,155,Floor,6.1,7.966,14.066
Chaopan Lin,CHN,155,Vault,5.6,8.966,14.566
Chaopan Lin,CHN,155,P-Bars,6.4,8.733,15.133
Chaopan Lin,CHN,155,High Bar,6.2,7.5,13.7
Wei Sun,CHN,156,Pommel,6,7.066,13.066
Wei Sun,CHN,156,Rings,5.9,8.441,14.341
Wei Sun,CHN,156,Vault,5.6,9.3,14.9
Wei Sun,CHN,156,High Bar,6,8.2,14.2
Ruoteng Xiao,CHN,157,Floor,5.7,6.966,12.666
Ruoteng Xiao,CHN,157,Pommel,6.1,8.066,14.166
Ruoteng Xiao,CHN,157,Rings,5.7,8.366,14.066
Ruoteng Xiao,CHN,157,Vault,5.6,9.366,14.966
Ruoteng Xiao,CHN,157,High Bar,5.7,6.9,12.6
Jingyuan Zou,CHN,159,Pommel,6.1,8.566,14.666
Jingyuan Zou,CHN,159,P-Bars,7,9.2,16.2
David Belyavsky,RUS,330,Pommel,6.1,7.966,14.066
David Belyavsky,RUS,330,P-Bars,6.4,8.3,14.7
David Belyavsky,RUS,330,High Bar,5.7,8,13.7
Artur Dalaloyan,RUS,331,Floor,6.2,8.466,14.666
Artur Dalaloyan,RUS,331,Rings,5.9,7.233,13.133
Artur Dalaloyan,RUS,331,Vault,5.6,9.466,15.066
Artur Dalaloyan,RUS,331,P-Bars,6.4,7.4,13.8
Artur Dalaloyan,RUS,331,High Bar,5.7,8.266,13.966
Nikolai Kuksenkov,RUS,332,Pommel,5.7,7.566,13.266
Dmitrii Lankin,RUS,333,Floor,6.4,7.833,14.233
Dmitrii Lankin,RUS,333,Rings,6.1,8.5,14.6
Dmitrii Lankin,RUS,333,Vault,5.2,9.266,14.466
Nikita Nagornyy,RUS,334,Floor,6.4,8.3,14.7
Nikita Nagornyy,RUS,334,Pommel,5.9,7.233,13.133
Nikita Nagornyy,RUS,334,Rings,6,8.588,14.588
Nikita Nagornyy,RUS,334,Vault,5.6,9.433,15.033
Nikita Nagornyy,RUS,334,P-Bars,6.4,8.366,14.766
Nikita Nagornyy,RUS,334,Rings,5.8,7.933,13.733
