Name,NOC,ID,Category,Score,Difficulty,Execution
Artur Dalaloyan,RUS,331,Floor,14.8,6.2,8.6
Artur Dalaloyan,RUS,331,Pommel,13.4,5.5,7.9
Artur Dalaloyan,RUS,331,Rings,14.533,5.9,8.633
Artur Dalaloyan,RUS,331,Vault,15.133,5.6,9.533
Artur Dalaloyan,RUS,331,P-Bars,15.566,6.4,9.166
Artur Dalaloyan,RUS,331,High Bar,14.166,5.7,8.466
Ruoteng Xiao,CHN,157,Floor,14.133,6.1,8.033
Ruoteng Xiao,CHN,157,Pommel,14.7,6.1,8.6
Ruoteng Xiao,CHN,157,Rings,14.333,5.7,8.633
Ruoteng Xiao,CHN,157,Vault,14.866,5.6,9.266
Ruoteng Xiao,CHN,157,P-Bars,15.333,6.2,9.133
Ruoteng Xiao,CHN,157,High Bar,14.233,6,8.233
Nikita Nagornyy,RUS,334,Floor,14.733,6.4,8.333
Nikita Nagornyy,RUS,334,Pommel,13.566,5.9,7.666
Nikita Nagornyy,RUS,334,Rings,14.5,6,8.5
Nikita Nagornyy,RUS,334,Vault,14.766,5.6,9.166
Nikita Nagornyy,RUS,334,P-Bars,14.866,6.4,8.466
Nikita Nagornyy,RUS,334,High Bar,13.9,5.8,8.1
